Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
11 Jan 20:00,0,5916.828254114251,0,0,0
11 Jan 21:00,0,5945.690678458643,3297.610940093075,0,0
11 Jan 22:00,0,5977.986736133527,0,0,0
11 Jan 23:00,0,6066.612342963602,979.7670560299016,0,0
12 Jan 00:00,0,6201.161898593636,1808.0029690433046,0,0
12 Jan 01:00,0,6332.145124134105,0,0,0
12 Jan 02:00,0,6502.60145162266,0,0,0
12 Jan 03:00,0,6707.291489000815,0,0,0
12 Jan 04:00,0,6911.858737341779,0,0,0
12 Jan 05:00,8086.037576763031,7009.016821691109,0,0,0
12 Jan 06:00,0,7029.485460553467,0,0,0
